"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Developer"
"144","FIFA 15","PS4",2014,"Sports","Electronic Arts",0.8,4.33,0.05,0.9,6.08,"EA Sports"
"145","Metal Gear Solid 2: Sons of Liberty","PS2",2001,"Action","Konami Digital Entertainment",2.45,2.01,0.87,0.72,6.05,"KCEJ"
"147","Metal Gear Solid","PS",1998,"Action","Konami Digital Entertainment",3.18,1.83,0.78,0.24,6.03,"KCEJ"
"148","Metal Gear Solid 4: Guns of the Patriots","PS3",2008,"Action","Konami Digital Entertainment",2.63,1.71,0.83,0.82,5.99,"Kojima Productions"
"149","Final Fantasy XII","PS2",2006,"Role-Playing","Square Enix",1.88,0,2.33,1.74,5.95,"Square Enix"
"150","The Last of Us","PS3",2013,"Action","Sony Computer Entertainment Europe",2.41,2.18,0.28,0.99,5.87,"Naughty Dog"
"151","LittleBigPlanet","PS3",2008,"Platform","Sony Computer Entertainment",2.8,1.98,0.17,0.87,5.82,"SCE/WWS, Media Molecule"
"152","Resident Evil 2","PS",1998,"Action","Virgin Interactive",1.88,1.47,2.02,0.45,5.82,"Capcom"
"153","Dragon Quest IX: Sentinels of the Starry Skies","DS",2009,"Role-Playing","Nintendo",0.63,0.67,4.35,0.15,5.78,"Level 5"
"154","Tekken 2","PS",1996,"Fighting","Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74,"Namco"
"155","Destiny","PS4",2014,"Shooter","Activision",2.49,2.07,0.16,0.92,5.64,"Bungie Software, Bungie"
"156","LEGO Star Wars: The Complete Saga","Wii",2007,"Action","LucasArts",3.57,1.55,0,0.51,5.64,"Traveller's Tales"
"157","Cooking Mama","DS",2006,"Simulation","505 Games",3.07,1.91,0.07,0.57,5.63,"Taito Corporation"
"160","Assassin's Creed II","PS3",2009,"Action","Ubisoft",2.54,1.93,0.21,0.86,5.55,"Ubisoft Montreal"
"161","Assassin's Creed","X360",2007,"Adventure","Ubisoft",3.28,1.64,0.07,0.56,5.54,"Ubisoft Montreal"
"162","Forza Motorsport 3","X360",2009,"Racing","Microsoft Game Studios",2.99,1.9,0.1,0.5,5.49,"Turn 10"
"163","Super Mario Advance","GBA",2001,"Platform","Nintendo",3.14,1.24,0.91,0.2,5.49,"Nintendo"
"164","Monster Hunter Freedom Unite","PSP",2008,"Role-Playing","Capcom",0.47,0.55,4.13,0.34,5.48,"Capcom"
"165","Batman: Arkham City","PS3",2011,"Action","Warner Bros. Interactive Entertainment",2.71,1.85,0.11,0.81,5.48,"Rocksteady Studios"
"166","Grand Theft Auto V","XOne",2014,"Action","Take-Two Interactive",2.81,2.19,0,0.47,5.48,"Rockstar North"
"167","Mario Kart: Super Circuit","GBA",2001,"Racing","Nintendo",2.62,1.64,0.99,0.23,5.47,"Intelligent Systems"
"170","Crash Bandicoot: The Wrath of Cortex","PS2",2001,"Platform","Universal Interactive",2.07,2.29,0.24,0.82,5.42,"Traveller's Tales"
"171","Call of Duty: World at War","PS3",2008,"Shooter","Activision",2.73,1.83,0,0.83,5.39,"Treyarch"
"172","Uncharted 4: A Thief's End","PS4",2016,"Shooter","Sony Computer Entertainment",1.85,2.5,0.19,0.85,5.38,"Naughty Dog"
"174","Final Fantasy XIII","PS3",2009,"Role-Playing","Square Enix",1.74,1.21,1.87,0.51,5.33,"Square Enix"
"176","Final Fantasy IX","PS",2000,"Role-Playing","SquareSoft",1.62,0.77,2.78,0.14,5.3,"SquareSoft"
"177","Assassin's Creed III","X360",2012,"Action","Ubisoft",3.13,1.69,0.03,0.44,5.29,"Ubisoft"
"178","Final Fantasy X-2","PS2",2003,"Role-Playing","Electronic Arts",1.92,1.08,2.11,0.17,5.29,"SquareSoft"
"180","Call of Duty: Advanced Warfare","XOne",2014,"Shooter","Activision",3.22,1.55,0.01,0.48,5.27,"Sledgehammer Games"
"182","Assassin's Creed II","X360",2009,"Action","Ubisoft",3.11,1.55,0.08,0.51,5.26,"Ubisoft Montreal"
"183","Tomb Raider II","PS",1997,"Action","Eidos Interactive",2.3,2.46,0.2,0.28,5.24,"Core Design Ltd."
"186","New Super Mario Bros. U","WiiU",2012,"Platform","Nintendo",2.3,1.34,1.27,0.32,5.22,"Nintendo"
"187","Dragon Quest VIII: Journey of the Cursed King","PS2",2004,"Role-Playing","Square Enix",0.65,0.75,3.61,0.2,5.21,"Level 5"
"189","Professor Layton and the Curious Village","DS",2007,"Puzzle","Nintendo",1.21,2.43,1.03,0.52,5.19,"Level 5"
"191","FIFA Soccer 13","X360",2012,"Action","Electronic Arts",1.09,3.47,0.03,0.57,5.16,"Electronic Arts"
"193","Diablo III","PC",2012,"Role-Playing","Activision",2.44,2.16,0,0.54,5.14,"Blizzard Entertainment"
"194","Medal of Honor: Rising Sun","PS2",2003,"Shooter","Electronic Arts",1.98,2.23,0.13,0.8,5.13,"EA LA"
"197","Guitar Hero II","PS2",2006,"Misc","RedOctane",3.81,0.63,0,0.68,5.12,"Harmonix Music Systems"
"198","Fable III","X360",2010,"Role-Playing","Microsoft Game Studios",3.59,1.08,0.05,0.38,5.1,"Lionhead Studios"
"200","Resident Evil 5","PS3",2009,"Action","Capcom",1.96,1.41,1.08,0.64,5.09,"Capcom"
"201","The Legend of Zelda: Phantom Hourglass","DS",2007,"Action","Nintendo",1.85,1.8,0.95,0.48,5.08,"Nintendo"
"203","FIFA Soccer 11","PS3",2010,"Sports","Electronic Arts",0.61,3.28,0.06,1.12,5.07,"EA Sports"
"204","Resident Evil","PS",1996,"Action","Virgin Interactive",2.05,1.16,1.11,0.73,5.05,"Capcom"
"205","Grand Theft Auto: Vice City Stories","PSP",2006,"Action","Take-Two Interactive",1.7,1.99,0.16,1.18,5.03,"Rockstar Leeds"
"206","Tony Hawk's Pro Skater","PS",1999,"Sports","Activision",3.42,1.38,0.02,0.2,5.02,"Neversoft Entertainment"
"209","Guitar Hero III: Legends of Rock","PS2",2007,"Misc","Activision",3.49,0.01,0.01,1.48,4.98,"Neversoft Entertainment, BudCat"
"210","Link's Crossbow Training","Wii",2007,"Shooter","Nintendo",3.05,1.17,0.29,0.46,4.98,"Nintendo"
"212","Fallout 3","X360",2008,"Role-Playing","Bethesda Softworks",3.4,0.99,0.09,0.45,4.93,"Bethesda Game Studios"
"213","Uncharted: Drake's Fortune","PS3",2007,"Action","Sony Computer Entertainment",2.31,1.72,0.12,0.77,4.92,"Naughty Dog, SCE/WWS"
"214","Madden NFL 06","PS2",2005,"Sports","Electronic Arts",3.98,0.26,0.01,0.66,4.91,"EA Sports"
"219","StarCraft II: Wings of Liberty","PC",2010,"Strategy","Activision",2.57,1.68,0,0.58,4.84,"Blizzard Entertainment"
"220","Assassin's Creed","PS3",2007,"Adventure","Ubisoft",1.91,2,0.09,0.82,4.82,"Ubisoft Montreal"
"221","God of War III","PS3",2010,"Action","Sony Computer Entertainment",2.74,1.33,0.12,0.61,4.8,"SCE Santa Monica"
"222","Crash Team Racing","PS",1999,"Racing","Sony Computer Entertainment",2.57,1.57,0.44,0.21,4.79,"Naughty Dog"
"223","LEGO Star Wars: The Complete Saga","DS",2007,"Action","LucasArts",2.83,1.48,0,0.45,4.76,"TT Fusion"
"224","Driver 2","PS",2000,"Action","Atari",2.36,2.1,0.02,0.25,4.73,"Reflections Interactive"
"225","Batman: Arkham City","X360",2011,"Action","Warner Bros. Interactive Entertainment",2.99,1.27,0.04,0.42,4.73,"Rocksteady Studios"
"228","Tony Hawk's Pro Skater 2","PS",2000,"Sports","Activision",3.05,1.41,0.02,0.2,4.68,"Neversoft Entertainment"
"229","The Lord of the Rings: The Two Towers","PS2",2002,"Action","Electronic Arts",1.94,1.95,0.08,0.7,4.67,"Stormfront Studios"
"230","Tomb Raider","PS",1996,"Action","Eidos Interactive",2.29,1.97,0.13,0.24,4.63,"Core Design Ltd."
"231","Animal Crossing: City Folk","Wii",2008,"Simulation","Nintendo",1.82,1.12,1.32,0.36,4.62,"Nintendo"
"232","Uncharted: The Nathan Drake Collection","PS4",2015,"Action","Sony Computer Entertainment",2.07,1.71,0.08,0.76,4.62,"Bluepoint Games"
"234","The Legend of Zelda: The Wind Waker","GC",2002,"Action","Nintendo",2.6,0.99,0.89,0.13,4.6,"Nintendo"
"235","Guitar Hero III: Legends of Rock","Wii",2007,"Misc","Activision",3.04,1.11,0,0.43,4.6,"Vicarious Visions"
"236","Luigi's Mansion: Dark Moon","3DS",2013,"Action","Nintendo",1.8,1.39,1.11,0.29,4.59,"Next Level Games"
"237","Forza Motorsport 4","X360",2011,"Racing","Microsoft Game Studios",2.08,1.97,0.06,0.46,4.57,"Turn 10"
"239","Madden NFL 2005","PS2",2004,"Sports","Electronic Arts",4.18,0.26,0.01,0.08,4.53,"EA Tiburon"
"240","Guitar Hero III: Legends of Rock","X360",2007,"Misc","Activision",3.19,0.91,0.01,0.42,4.53,"Neversoft Entertainment"
"242","Madden NFL 07","PS2",2006,"Sports","Electronic Arts",3.63,0.24,0.01,0.61,4.49,"EA Sports"
"243","Halo 5: Guardians","XOne",2015,"Shooter","Microsoft Game Studios",2.78,1.27,0.03,0.41,4.48,"343 Industries"
"244","Spider-Man: The Movie","PS2",2002,"Action","Activision",2.71,1.51,0.03,0.23,4.48,"Treyarch"
"246","Call of Duty: Infinite Warfare","PS4",2016,"Shooter","Activision",1.61,2,0.15,0.71,4.46,"Infinity Ward"
"247","God of War","PS2",2005,"Action","Sony Computer Entertainment",2.71,1.29,0.02,0.43,4.45,"SCE Santa Monica"
"248","Splatoon","WiiU",2015,"Shooter","Nintendo",1.54,1.18,1.46,0.26,4.43,"Nintendo"
"249","Nintendo Land","WiiU",2012,"Misc","Nintendo",2.52,1.11,0.46,0.33,4.42,"Nintendo"
"250","Tony Hawk's Pro Skater 3","PS2",2001,"Sports","Activision",2.66,1.29,0.01,0.46,4.41,"Neversoft Entertainment"
"251","Winning Eleven: Pro Evolution Soccer 2007","PS2",2006,"Sports","Konami Digital Entertainment",0.1,2.39,1.05,0.86,4.39,"Konami"
"252","The Elder Scrolls IV: Oblivion","X360",2006,"Role-Playing","Take-Two Interactive",2.82,1.03,0.13,0.4,4.38,"Bethesda Softworks"
"254","Need for Speed: Most Wanted","PS2",2005,"Racing","Electronic Arts",2.03,1.79,0.08,0.47,4.37,"EA Canada"
"255","Michael Jackson: The Experience","Wii",2010,"Misc","Ubisoft",2.64,1.33,0.01,0.39,4.36,"Ubisoft Paris, Ubisoft Montpellier"
"256","Call of Duty: Advanced Warfare","PS3",2014,"Shooter","Activision",1.56,1.93,0.19,0.68,4.36,"High Moon Studios"
"257","Resistance: Fall of Man","PS3",2006,"Shooter","Sony Computer Entertainment",1.74,1.72,0.14,0.75,4.34,"Insomniac Games"
"259","Kingdom Hearts II","PS2",2005,"Role-Playing","Square Enix",2.2,0.58,1.38,0.17,4.33,"Square Enix"
"261","Super Mario 3D World","WiiU",2013,"Platform","Nintendo",2.11,1.16,0.73,0.32,4.32,"Nintendo"
"264","Call of Duty: Advanced Warfare","X360",2014,"Shooter","Activision",2.77,1.11,0,0.4,4.29,"High Moon Studios"
"265","FIFA 15","PS3",2014,"Sports","Electronic Arts",0.58,3.02,0.04,0.64,4.28,"EA Sports"
"266","Fable II","X360",2008,"Role-Playing","Microsoft Game Studios",2.51,1.24,0.11,0.41,4.27,"Lionhead Studios"
"267","Namco Museum","GBA",2001,"Misc","Namco Bandai Games",3,1.11,0.05,0.07,4.24,"Mass Media"
"268","Batman: Arkham Asylum","PS3",2009,"Action","Eidos Interactive",2.24,1.31,0.07,0.61,4.23,"Rocksteady Studios"
"269","Metal Gear Solid 3: Snake Eater","PS2",2004,"Action","Konami Digital Entertainment",1.46,0,0.83,1.93,4.23,"KCEJ"
"270","Assassin's Creed: Revelations","PS3",2011,"Action","Ubisoft",1.41,2.01,0.1,0.7,4.22,"Ubisoft Montreal"
"271","Fallout 4","XOne",2015,"Role-Playing","Bethesda Softworks",2.51,1.32,0.01,0.38,4.22,"Bethesda Game Studios"
"272","FIFA 14","X360",2013,"Sports","Electronic Arts",0.92,2.89,0.01,0.4,4.22,"EA Canada"
"273","Daxter","PSP",2006,"Platform","Sony Computer Entertainment",2.45,1.01,0,0.75,4.21,"Ready at Dawn"
"275","FIFA Soccer 06","PS2",2005,"Sports","Electronic Arts",0.78,2.55,0.04,0.84,4.21,"EA Canada"
"276","EyeToy Play","PS2",2003,"Misc","Sony Computer Entertainment",0.88,2.3,0.2,0.83,4.2,"SCEE, Zoe Mode"
"277","Gran Turismo 5 Prologue","PS3",2007,"Racing","Sony Computer Entertainment",1.28,1.82,0.57,0.52,4.19,"Polyphony Digital"
"278","Assassin's Creed: Revelations","X360",2011,"Action","Ubisoft",2.25,1.47,0.04,0.43,4.19,"Ubisoft Montreal"
"281","Street Fighter IV","PS3",2009,"Fighting","Capcom",2.03,1.04,0.58,0.52,4.16,"Capcom"
"284","Madden NFL 2003","PS2",2002,"Sports","Electronic Arts",3.36,0.21,0.01,0.56,4.14,"EA Sports"
"285","Half-Life","PC",1997,"Shooter","Vivendi Games",4.03,0,0.09,0,4.12,"Valve Software"
"289","World of Warcraft: The Burning Crusade","PC",2007,"Role-Playing","Activision",2.57,1.52,0,0,4.09,"Blizzard Entertainment"
"290","Battlefield 1","PS4",2016,"Shooter","Electronic Arts",1.1,2.15,0.21,0.61,4.08,"EA DICE"
"291","God of War II","PS2",2007,"Action","Sony Computer Entertainment",2.32,0.04,0.04,1.67,4.07,"SCE Santa Monica"
"292","World Soccer Winning Eleven 9","PS2",2005,"Sports","Konami Digital Entertainment",0.12,2.26,0.9,0.77,4.06,"Konami"
"293","Fallout: New Vegas","X360",2010,"Role-Playing","Bethesda Softworks",2.66,1.03,0.04,0.33,4.05,"Obsidian Entertainment"
"294","Forza Motorsport 2","X360",2007,"Racing","Microsoft Game Studios",2.35,1.27,0.03,0.41,4.05,"Turn 10"
"295","Carnival Games","Wii",2007,"Misc","Take-Two Interactive",2.12,1.47,0.05,0.42,4.05,"Cat Daddy Games"
"296","Watch Dogs","PS4",2014,"Action","Ubisoft",1.4,1.9,0.11,0.64,4.05,"Ubisoft Montreal"
"298","Tekken Tag Tournament","PS2",2000,"Fighting","Namco Bandai Games",1.68,1.51,0.51,0.35,4.05,"Namco"
"299","Far Cry 4","PS4",2014,"Shooter","Ubisoft",1.13,2.18,0.1,0.63,4.04,"Ubisoft Montreal"
"302","Namco Museum: 50th Anniversary","PS2",2005,"Misc","Namco Bandai Games",2.08,1.35,0,0.54,3.98,"Digital Eclipse"
"303","Left 4 Dead 2","X360",2009,"Shooter","Electronic Arts",2.67,0.87,0.05,0.38,3.97,"Valve Software"
"304","The Witcher 3: Wild Hunt","PS4",2015,"Role-Playing","Namco Bandai Games",1.02,2.13,0.23,0.59,3.97,"CD Projekt Red Studio"
"305","Assassin's Creed: Unity","PS4",2014,"Action","Ubisoft",1.19,2.07,0.08,0.62,3.96,"Ubisoft, Ubisoft Montreal"
